id,note,section,page,block,title,filename,link,old
174,,Resources,Supporting victims and survivors,Victim care pathways,Modern Slavery: Adult Pre-NRM Casework Toolkit,national_use_modern_slavery_pre_nrm_casework_toolkit_2.pdf,,
175,,Resources,Supporting victims and survivors,Victim care pathways,Accessing Support as a Victim of Modern Slavery (Adult),accessing-support-as-a-victim-of-modern-slavery-adult.pdf,,
176,,Resources,Supporting victims and survivors,Victim care pathways,"Training Framework: Identification, Care and Support of Victims and Survivors of Modern Slavery and Human Trafficking",training-framework-identification-care-and-support-of-victims-and-survivors-of-modern-slavery-and-human-trafficking.pdf,,
177,,Resources,Supporting victims and survivors,Victim care pathways,"The Slavery and Trafficking Survivor Care Standards, 2018",,https://static1.squarespace.com/static/599abfb4e6f2e19ff048494f/t/5bc07787ec212d8f5b833504/1539340180026/HTF+Care+Standards+%5BSpreads%5D.pdf,
178,,Resources,Supporting victims and survivors,Victim care pathways,Wales Survivor Care Pathway,Wales victim pathway 2017.pdf,,
179,,Resources,Supporting victims and survivors,Victim care pathways,Local Authorities’ Referral Pathway for Adult Victims of Modern Slavery (2018),,https://static1.squarespace.com/static/599abfb4e6f2e19ff048494f/t/5b164e6b562fa7121fa39da3/1528188528869/LWG+Local+Authorities+Modern+Slavery+Protocol+%28adults%29+-+Adult+NRM+Pathw....pdf,
180,,Resources,Supporting victims and survivors,Victim care pathways,Adult Modern Slavery Protocol for Local Authorities: NRM Process Guide for Local Authorities (2018),,https://static1.squarespace.com/static/599abfb4e6f2e19ff048494f/t/5b164e81f950b70540256c8b/1528188554886/LWG+Local+Authorities+Modern+Slavery+Protocol+%28adults%29+-+NRM+Process+Gui....pdf,
181,404 - search / remove?,Resources,Supporting victims and survivors,Victim care pathways,Snowdrop Project - Post-NRM Living,,,https://www.snowdropproject.co.uk/page.php?url=404
182,updated,Resources,Supporting victims and survivors,Victim care pathways,Pre-NRM Accommodation Experiences of Survivors of Modern Slavery,,https://www.antislaverycommissioner.co.uk/media/2qbjvnh2/pre-nrm-accommodation-experiences-of-survivors-of-modern-slavery.pdf,https://www.survivoralliance.org/wp-content/uploads/2019/10/WMASN-Report-Final.pdf
183,,Resources,Supporting victims and survivors,Legal support,ATLEU: Anti-Trafficking and Labour Exploitation Unit,,https://www.atleu.org.uk/,
184,,Resources,Supporting victims and survivors,Legal support,ATHUB: Anti-Trafficking resources for lawyers,,https://athub.org.uk/,
185,updated,Resources,Supporting victims and survivors,Legal support,Focus on Labour Exploitation (FLEX) Accountability Hub,,https://labourexploitation.org/,https://accountabilityhub.org/
186,,Resources,Supporting victims and survivors,Legal support,Immigration Law Practitioner’s Association (ILPA),,https://ilpa.org.uk/,
187,,Resources,Supporting victims and survivors,Support for survivors,Impact of COVID-19 on Modern Slavery Survivors in the UK & USA: Preliminary Survey Findings,impact-of-covid-19-on-modern-slavery-survivors-in-the-uk-usa.pdf,,
188,,Resources,Supporting victims and survivors,Support for survivors,Going places: Journeys to recovery,going-places-journeys-to-recovery.pdf,,
189,,Resources,Supporting victims and survivors,Support for survivors,Survivors of trafficking and the Criminal Injuries Compensation Scheme,survivors-of-trafficking-and-the-criminal-injuries-compensation-scheme.pdf,,
190,,Resources,Supporting victims and survivors,Support for survivors,Supporting victims of modern slavery who are homeless during COVID19,supporting-victims-of-modern-slavery-who-are-homeless-during-covid-19_external.pdf,,
191,,Resources,Supporting victims and survivors,Support for survivors,Photographing Modern Slavery: Recommendations for Responsible Practice,photographing-modern-slavery.pdf,,
192,,Resources,Supporting victims and survivors,Support for survivors,Voices: Ideas for using survivor testimony in antislavery work,Voices.pdf,,
193,updated,Resources,Supporting victims and survivors,Support for survivors,The Journey of our UK Survivor Network: Challenges & Successes,,https://www.survivoralliance.org/store/journeyuksurvivornetwork,https://www.survivoralliance.org/wp-content/uploads/2019/10/UKSN-Booklet.pdf
194,updated,Resources,Supporting victims and survivors,Support for survivors,The Modern Slavery (Victim Support) Bill: A Cost-Benefit Analysis,"Nicholson and Schwarz, Cost Benefit Analysis.pdf",https://www.nottingham.ac.uk/research/beacons-of-excellence/rights-lab/resources/reports-and-briefings/2019/august/the-modern-slavery-victim-support-bill.pdf,
195,,Resources,Supporting victims and survivors,Support for survivors,Mapping Trafficking Survivor Services,,https://www.humantraffickingfoundation.org/support-services,
196,,Resources,Supporting victims and survivors,Support for survivors,Co-op and City Hearts ‘Bright Futures Programme’,,https://www.co-operative.coop/ethics/bright-future,
197,,Resources,Supporting victims and survivors,Support for survivors,Survivor Alliance,,https://www.survivoralliance.org/publications,
198,,Resources,Supporting victims and survivors,Support for survivors,Northern College’s Free Thinking Programme,Free Thinking Case Study.doc,,
199,,Resources,Supporting victims and survivors,Support for survivors,Victim and Witness Care Coordinators – Cambridgeshire,Cambridgeshire - Evidence for Home Affairs Select Commt on supporting victims_VB edit.docx,,
200,,UK Training Library,Aviation training,Guide,Modern Slavery & Human Trafficking: A Guide for the UK Aviation Industry,Modern Slavery Human Trafficking - A Guide for the UK Aviation Industry. November2018.pdf,,
201,,UK Training Library,Awareness lunch and learn,Powerpoint,Wales Anti-Slavery Awareness - Lunch and Learn,Wales Lunch and Learn May 2018.pptx,,
202,,UK Training Library,Awareness lunch and learn,Course admin,Delegate numbers,Anti Slavery training delegate numbers.docx,,
203,,UK Training Library,Awareness lunch and learn,Course admin,Course Evaluation,Course Evaluation.doc,,
204,,UK Training Library,Awareness lunch and learn,Course admin,Wales Anti-Slavery Awareness Lunch and Learn - Certificate of Achievement,Lunch and Learn-Certificate of Achievement.docx,,
205,,UK Training Library,Awareness lunch and learn,Handouts,Home Office Duty to Notify Poster,HO_LL_Duty of notice_poster_v2.pdf,,
206,,UK Training Library,Awareness lunch and learn,Handouts,Home Office Duty to Notify Poster 2,HO_LL_Duty of notice_poster_2_v2.pdf,,
207,,UK Training Library,Awareness lunch and learn,Handouts,Home Office Duty to Notify Factsheet,HO_LL_factsheet_duty to notify copy_V3.pdf,,
208,,UK Training Library,Awareness lunch and learn,Handouts,Report Modern Slavery,report-modern-slavery-red.png,,
209,,UK Training Library,County Lines Material,Material,County Lines Gang Violence Exploitation and Drug Supply 2016,County Lines - Gang Violence Exploitation and Drug Supply 2016.pdf,,
210,,UK Training Library,County Lines Material,Material,Exploiting children crosses the line poster,exploiting children crosses the line poster.jpg,,
211,,UK Training Library,County Lines Material,Material,Home Office Criminal Exploitation of children and vulnerable adults: County Lines guidance,Home Office  Criminal exploitation of children and vulnerable adults Cou.._.pdf,,
212,,UK Training Library,CSE training,Powerpoint,Wales anti-slavery child sexual exploitation awareness course,Dewi CSE APRIL 2016.pptx,,
213,,UK Training Library,CSE training,Handouts,AWCPP handout on CSE expectations,AWCPP handout on CSE expectations.doc,,
214,,UK Training Library,CSE training,Handouts,Barnardos SERAF Risk Assessment Form,Barnardos Cymru SERAF Risk Assessment Form.doc,,
215,,UK Training Library,CSE training,Handouts,SERAF CSE leaflet,cse leaflet.pdf,,
216,,UK Training Library,CSE training,Handouts,Home Office Duty to Notify Poster,HO_LL_Duty of notice_poster_v2.pdf,,
217,,UK Training Library,CSE training,Handouts,Home Office Duty to Notify Poster 2,HO_LL_Duty of notice_poster_2_v2.pdf,,
218,,UK Training Library,CSE training,Handouts,Home Office Duty to Notify Factsheet,HO_LL_factsheet_duty to notify copy_V3.pdf,,
219,,UK Training Library,CSE training,Handouts,Messages for practice: Working with Child Sexual Exploitation,Messages for practice CSE final version.pdf,,
220,,UK Training Library,CSE training,Handouts,Myths and Stereotypes,myths.doc,,
221,,UK Training Library,CSE training,Handouts,Operational handbook - Child Trafficking,Operational handbook - Child Trafficking (7).doc,,
222,,UK Training Library,CSE training,Handouts,No Room For Slavery poster,MShospitality.pdf,,
223,,UK Training Library,CSE training,Handouts,Risk indicators,risk incicators.doc,,
224,,UK Training Library,CSE training,Handouts,Barnardos SERAF Categories of risk framework,SERAF Categories of risk framework.doc,,
225,,UK Training Library,CSE training,Handouts,Barnardos SERAF Risk Assessment - Scoring Guidance,SERAF Risk Assessment - Scoring Guidance.pdf,,
226,,UK Training Library,CSE training,Handouts,SERAF Risk Assessment - Scoring Guidance.pdf,Seraf Risk Chart.docx.pdf,,
227,,UK Training Library,CSE training,Handouts,Stop the Traffick child information,stop the traffick child information.doc,,
228,,UK Training Library,CSE training,Course admin,Delegate numbers,Anti Slavery training delegate numbers.docx,,
229,,UK Training Library,CSE training,Course admin,Course Evaluation,Course Evaluation.doc,,
230,,UK Training Library,CSE training,Course admin,CSE Trainers Course - Certificate of Achievement,CSE Trainers Course-Certificate of Achievement.docx,,
231,,UK Training Library,First Responders training,Powerpoint,Wales’ First Responder Modern Slavery Course,First Responder Course update June  2018.pptx,,
232,,UK Training Library,First Responders training,Forms,Example adult form - best practice - LE,Adult - best practice form -LE.doc,,
233,,UK Training Library,First Responders training,Forms,Example adult form - best practice - SE,Adult - best practice form -SE.doc,,
234,,UK Training Library,First Responders training,Forms,Example adult form - limited information - LE,Adult - limited information LE.doc,,
235,,UK Training Library,First Responders training,Forms,Example adult form - poor referral - LE,Adult - Poor Referral ExampleLE.doc,,
236,,UK Training Library,First Responders training,Forms,Example adult form - poor referral - SE,Adult - Poor Referral ExampleSE.doc,,
237,,UK Training Library,First Responders training,Handouts,First Responder’s Guide to Modern slavery,,https://www.gov.wales/live-fear-free?lang=en,
238,,UK Training Library,First Responders training,Certificate,Anti-Slavery First Responder course - Certificate of Achievement,Anti-Slavery first responder  Course-Certificate of Achievement.docx,,
239,,UK Training Library,Health materials,Material,Gov.uk,,https://www.gov.uk/government/collections/modern-slavery,
240,,UK Training Library,Health materials,Material,Safeguarding – NHS England,,https://www.england.nhs.uk/safeguarding/,
241,,UK Training Library,Health materials,Material,e-Learning for Healthcare,,https://www.e-lfh.org.uk/programmes/modern-slavery/,
242,,UK Training Library,Health materials,Material,Preventing modern slavery: the role of the NHS,,https://www.england.nhs.uk/blog/preventing-modern-slavery-the-role-of-the-nhs/,
243,,UK Training Library,Health materials,Material,Modern slavery and Public Health,,https://www.gov.uk/government/publications/modern-slavery-and-public-health/modern-slavery-and-public-health,
244,,UK Training Library,Health materials,Material,Modern slavery in the UK: how should the health sector be responding?,,https://academic.oup.com/jpubhealth/article-abstract/42/1/216/5253777?redirectedFrom=fulltext&login=false,
245,,UK Training Library,Health materials,Material,Health inequalities and health equity challenges for victims of modern slavery,,https://academic.oup.com/jpubhealth/article-abstract/41/4/681/5155322?redirectedFrom=fulltext&login=false,
246,,UK Training Library,Health materials,Material,Perceptions of Psychological Coercion and Human Trafficking in the West Midlands of England: Beginning to Know the Unknown,,https://pubmed.ncbi.nlm.nih.gov/27149330/,
247,updated,UK Training Library,Health materials,Material,The Care Quality Commission Statement on Modern Slavery,,https://www.cqc.org.uk/about-us/transparency/our-statement-modern-slavery-and-human-trafficking,https://www.cqc.org.uk/sites/default/files/modern-slavery-human-trafficking-statement.pdf
248,,UK Training Library,Tier 3 UK Modern Slavery – Awareness,Powerpoint,UK Modern Slavery Awareness Tier 3,Modern Slavery Training UK  Tier 3  Awareness.final Updated June 2018.pptx,,
249,,UK Training Library,Tier 3 UK Modern Slavery – Awareness,Handouts,Definitons,Definitons- Modern Slavery Training.docx,,
250,,UK Training Library,Tier 3 UK Modern Slavery – Awareness,Handouts,Definitons answers,Definiton answers - Modern Slavery Training.docx,,
251,,UK Training Library,Tier 3 UK Modern Slavery – Awareness,Certificate,Certificate of Achievement - Anti-Slavery Awareness Course,Anti-Slavery Awareness Course-Certificate of Achievement.docx,,
252,,UK Training Library,Hotelier training,Powerpoint,Wales’ Hotelier Lunch And Learn: Modern Slavery & Human Trafficking,WALES HOTELIER LUNCH AND LEARN.PPTX,,
253,,UK Training Library,Hotelier training,Handouts,Factsheet - Modern Slavery: A Briefing For The Hospitality Industry,FactsheetHospitality.pdf,,
254,,UK Training Library,Hotelier training,Handouts,Home Office Duty to Notify Poster,HO_LL_Duty of notice_poster_v2.pdf,,
255,,UK Training Library,Hotelier training,Handouts,Home Office Duty to Notify Poster 2,HO_LL_Duty of notice_poster_2_v2.pdf,,
256,,UK Training Library,Hotelier training,Handouts,Home Office Duty to Notify Factsheet,HO_LL_factsheet_duty to notify copy_V3.pdf,,
257,,UK Training Library,Hotelier training,Handouts,No Room For Slavery poster,MShospitality.pdf,,
258,,UK Training Library,Hotelier training,Handouts,Report Modern Slavery,report-modern-slavery-red.png,,
259,,UK Training Library,Hotelier training,Handouts,Tackling Modern Slavery In The Hotel Sector In Wales booklet,Tackling Modern Slavery in the Hotel Sector in Wales Booklet - SC V1.pdf,,
260,,UK Training Library,Hotelier training,Extra materials,Tackling Modern Slavery In The Hotel Sector (UK),Tackling Modern Slavery in the Hotel Sector UK Version.pdf,,
261,updated,UK Training Library,Hotelier training,Extra materials,Do You See Me? Film about trafficking children,,https://www.youtube.com/watch?v=ezcpO-VApgE,http://www.chatback.org.uk/productions.htm
262,,UK Training Library,University training,Powerpoint,Wales anti slavery awareness for universities - a brief introduction,Wales Lunch and Learn Module.universites. October 2017.pptx,,
263,,UK Training Library,University training,Certificate,Certificate of Achievement,Certificate of Achievement.university Ambassador.docx,,
